Card Type Code,Card Type Full Name,Issuing Bank,Card Number,Card Holder's Name,CVV/CVV2,Issue Date,Expiry Date,Billing Date,Card PIN,Credit Limit
AX,American Express,American Express,343990070762198,Twila Huffaker,8641,07/2007,07/2010,16,4062,106900
VI,Visa,Capital One,4294373923278053,Robert H Walton,327,05/2011,05/2029,1,4117,183500
VI,Visa,Citibank,4633629996481712,Jillian D Motter,354,08/2010,08/2028,25,0032,104600
AX,American Express,American Express,346131055348128,Frank D Cooley,9979,06/2008,06/2028,20,8426,19300
AX,American Express,American Express,377827267760529,Georgette Heck,9623,10/2013,10/2028,19,1700,88500
DC,Diners Club International,Diners Club,30958428208329,Victoria H Abbott,928,09/2011,09/2021,3,5882,96700
AX,American Express,American Express,349223866798406,Rossie R Gasper,5284,08/2015,08/2023,18,3195,78800
VI,Visa,Chase,4017296606768668,Jesse Riggs,319,01/2008,01/2022,24,6059,53100
VI,Visa,Chase,4844764263298286,Aron U Loya,773,02/2015,02/2034,6,9936,166100
JC,Japan Credit Bureau,JCB,3553852108491381,Emily Q Witt,410,11/2014,11/2021,1,0271,135400
DC,Diners Club International,Diners Club,30216705177174,Lyman Q Nease,593,01/2013,01/2026,21,5246,146200
DS,Discover,Discover,6527842431165048,Hazel Stafford,486,01/2011,01/2027,4,6754,108000
JC,Japan Credit Bureau,JCB,3560933398778652,Myung Q Baltimore,295,01/2017,01/2024,18,9806,38300
DC,Diners Club International,Diners Club,30340155425105,Kelly K Gordon,045,09/2013,09/2027,21,7293,75000
AX,American Express,American Express,341085301750468,Brant B Session,0144,08/2013,08/2019,22,6779,185200
JC,Japan Credit Bureau,JCB,3585174270399629,Cindy M Matthews,581,03/2014,03/2030,27,6854,85200
MC,Master Card,Capital One,5162556238022796,Vito W Haven,153,05/2007,05/2022,26,7906,61400
MC,Master Card,Citibank,5167195375583362,Sam P Fuller,245,11/2016,11/2030,2,0290,189600
DC,Diners Club International,Diners Club,38239805170875,Benito Lafever,411,10/2011,10/2021,14,8398,97700
DC,Diners Club International,Diners Club,36010259768197,Douglas M Murray,303,02/2011,02/2020,26,2674,196300
VI,Visa,Citibank,4301475956069209,Cruz I Guiterrez,686,11/2016,11/2030,24,0919,39800
MC,Master Card,Citibank,5466818530224493,Richard Y Levine,651,09/2008,09/2009,6,2337,127200
MC,Master Card,Chase,5327767229532659,Odette J Mckain,881,12/2015,12/2021,17,1497,144200
VI,Visa,Cabela’s WFB,4356531342061997,Martin D Forbes,462,08/2012,08/2028,5,8153,146800
AX,American Express,American Express,347500964216387,Kiyoko Givan,8206,07/2010,07/2029,22,2647,156200
MC,Master Card,USAA,5297253741880203,Sam A Good,609,09/2010,09/2019,15,5154,111900
JC,Japan Credit Bureau,JCB,3544974744444400,Chung A Primm,672,12/2008,12/2022,12,1544,186600
AX,American Express,U.S. Bancorp,374075110160520,Anthony Y Sawyer,5317,10/2014,10/2029,17,5017,77500
JC,Japan Credit Bureau,JCB,3586005623512303,Lupita J Canas,380,02/2010,02/2025,24,3542,47600
VI,Visa,Barclays,4371502020944797,Ruth P Cross,428,04/2013,04/2026,10,0510,103700
DS,Discover,Discover,6011412537211212,Bella B Hellwig,679,11/2010,11/2018,7,3859,119100
JC,Japan Credit Bureau,JCB,3588765156258685,Marjorie Andrews,295,12/2017,12/2020,15,5430,32800
MC,Master Card,Citibank,5185800478235442,Leonard W Gainey,320,12/2010,12/2028,28,2737,20500
DC,Diners Club International,Diners Club,36660102910352,Lillian U Alexander,920,11/2012,11/2024,7,4127,146200
JC,Japan Credit Bureau,JCB,3579441032235385,Domenic Esparza,495,11/2012,11/2026,17,1896,156000
DC,Diners Club International,Diners Club,30112119982913,Amy L Prince,456,09/2010,09/2011,12,7149,46900
JC,Japan Credit Bureau,JCB,3538756875771463,Leopoldo J Kleiner,742,04/2007,04/2012,20,2580,31500
VI,Visa,Chase,4496341936280636,Frances T Hurst,358,11/2009,11/2028,15,2090,190800
DC,Diners Club International,Diners Club,30370335616380,Mel L Corby,055,08/2017,08/2029,27,8028,26900
MC,Master Card,Capital One,5369307778723877,Ana Y Glover,909,08/2014,08/2022,27,1188,87400
AX,American Express,American Express,343152472244313,Toccara O Waller,9350,04/2012,04/2022,15,5662,47300
AX,American Express,American Express,341036925449284,Ann Head,6912,01/2012,01/2020,25,9752,159500
DC,Diners Club International,Diners Club,30375819026493,Lore Pepper,678,07/2016,07/2017,15,6822,120300
JC,Japan Credit Bureau,JCB,3549433504415253,Ida H Hughes,331,02/2010,02/2023,14,1965,46300
JC,Japan Credit Bureau,JCB,3530104850552772,Ignacio M Walther,974,01/2014,01/2016,10,4349,71000
AX,American Express,U.S. Bancorp,343500617922948,Jon Glover,8878,01/2017,01/2020,10,3138,54700
AX,American Express,American Express,342608326925358,Kalyn Lagunas,8545,11/2017,11/2030,15,0827,13300
AX,American Express,American Express,345738525584933,Martin W Newman,0433,11/2007,11/2026,15,9965,158800
DC,Diners Club International,Diners Club,30564771195277,Dot M Litwin,700,01/2015,01/2028,14,2813,26500
AX,American Express,American Express,343493963610137,Charlie Singleton,6518,01/2013,01/2023,16,2855,116500
MC,Master Card,U.S. Bancorp,5272565286872678,Jessie U Ferraro,830,04/2015,04/2025,13,8847,90100
MC,Master Card,Chase,5494640774773761,Christina N Macdonald,079,01/2010,01/2015,15,6892,139200
VI,Visa,Capital One,4103087455158464,Oswaldo Rowell,090,08/2016,08/2019,7,1566,70300
DS,Discover,Discover,6011593509935670,Randall F Barker,145,01/2009,01/2026,2,0494,77500
JC,Japan Credit Bureau,JCB,3579118266652531,Cletus Norsworthy,482,06/2012,06/2019,24,6732,167400
MC,Master Card,Bank of America,5255928414121767,Cheryl T Frazier,489,10/2015,10/2020,4,3327,74500
VI,Visa,Chase,4975026681765465,Isreal P Fall,242,02/2016,02/2033,21,4488,190600
VI,Visa,Chase,4530599519137105,Randy C Rasmussen,205,12/2014,12/2030,5,7541,175100
MC,Master Card,Citibank,5478555080132645,Kim I Beckford,957,03/2011,03/2029,28,0651,66900
JC,Japan Credit Bureau,JCB,3534727263058015,Dana P Velez,081,08/2017,08/2029,7,8887,35800
JC,Japan Credit Bureau,JCB,3556605574675110,Julio Bellomy,838,08/2014,08/2020,22,8359,43800
DS,Discover,Discover,6011758292316426,Tommy Brock,781,05/2008,05/2018,26,6780,121500
JC,Japan Credit Bureau,JCB,3585546769687152,Dayle G Popham,942,08/2010,08/2016,9,2878,46700
DS,Discover,Discover,6011410228334871,Dan K Fletcher,840,04/2010,04/2021,26,4874,116500
JC,Japan Credit Bureau,JCB,3544382660071431,Rory V Gaiter,109,06/2014,06/2024,9,4891,169300
VI,Visa,Chase,4668620932791999,Clyde D Parrish,546,01/2016,01/2027,4,6200,21000
MC,Master Card,Citibank,5274379193385511,Omar Z Saez,539,09/2009,09/2014,15,0071,138500
VI,Visa,Citibank,4368968931300319,Tom V Anderson,062,02/2010,02/2026,24,9440,138300
AX,American Express,American Express,379941605209251,Kurtis B Urquhart,3219,12/2011,12/2018,22,5260,20400
VI,Visa,Chase,4287795115053820,Jacob X Shields,980,04/2014,04/2029,28,5400,194800
MC,Master Card,Citibank,5174547035759363,Tanika Malkin,104,09/2007,09/2027,13,4055,103000
AX,American Express,American Express,348159039605428,June Ellis,2241,12/2009,12/2015,23,5236,165500
DS,Discover,Discover,6011632975530886,Russ Stansbury,672,03/2008,03/2019,27,7133,34500
AX,American Express,American Express,376111221461933,Ramon Perkins,6048,11/2015,11/2021,19,4499,103100
DS,Discover,Discover,6011331429411328,Tyron Bastian,877,09/2012,09/2025,24,5101,193500
JC,Japan Credit Bureau,JCB,3573526552553005,Glenn B Herrera,848,11/2012,11/2030,17,9571,115300
AX,American Express,Bank of America,378700678002832,Malia J Chatham,6971,12/2015,12/2022,1,4206,139100
JC,Japan Credit Bureau,JCB,3558491423923961,Cathy T Dominguez,661,01/2008,01/2013,11,5538,165500
VI,Visa,Barclays,4102609405312635,Delora L Chouinard,694,05/2015,05/2031,13,7709,65800
AX,American Express,Bank of America,376806595669579,Veronica Stevens,7181,07/2007,07/2019,27,7072,176800
MC,Master Card,Citibank,5134275301670507,Donte Buchanon,611,06/2011,06/2012,19,8230,15900
JC,Japan Credit Bureau,JCB,3572248104304503,Gladys Hayden,038,01/2008,01/2010,13,6389,17800
DC,Diners Club International,Diners Club,30329403049163,Roberto B Lindsey,079,10/2012,10/2021,15,8889,16700
DS,Discover,Discover,6011465417847455,Anthony V Travis,863,04/2009,04/2019,7,4833,137100
DC,Diners Club International,Diners Club,36776817474342,Jermaine Mina,595,06/2015,06/2018,21,3543,173500
DS,Discover,Discover,6011977837259681,Anthony J Ramos,777,12/2014,12/2031,24,7160,47500
MC,Master Card,Chase,5109297537718760,Scot D Cape,851,08/2011,08/2013,12,8942,178900
DS,Discover,Discover,6467376423775250,Stacy P Conrad,022,04/2012,04/2028,11,0076,84800
AX,American Express,USAA,349303385547748,Shakita O Drolet,3412,09/2012,09/2020,2,4105,25200
MC,Master Card,GE Capital,5168242577068856,Sue L Conley,629,07/2013,07/2014,27,9101,125200
JC,Japan Credit Bureau,JCB,3543275868106861,Casie Negrin,946,12/2011,12/2031,13,4741,144300
JC,Japan Credit Bureau,JCB,3584665139197295,Ida F Cobb,849,12/2007,12/2008,14,0308,20900
AX,American Express,American Express,372699997081319,Margy Carrasco,9693,07/2016,07/2030,5,3023,197200
JC,Japan Credit Bureau,JCB,3564455135064291,Billy T Wilkinson,331,02/2016,02/2022,10,6013,95200
VI,Visa,Chase,4829367233226434,Ahmad E Rossignol,278,10/2013,10/2032,4,5514,154400
AX,American Express,American Express,371326836491134,Kathleen T Ferrell,9910,06/2007,06/2025,7,5972,88100
VI,Visa,Chase,4696216175245441,Nestor Sheats,901,06/2015,06/2019,28,4587,131500
MC,Master Card,Citibank,5353530651089763,Joel G Duffy,049,04/2013,04/2029,4,8148,122700
DS,Discover,Discover,6011601028917358,Lakita N Kitson,300,10/2010,10/2029,11,1120,58100
JC,Japan Credit Bureau,JCB,3553384023733127,Jimmy Kaufman,370,03/2010,03/2022,20,5610,85800
MC,Master Card,Citibank,5351760286297349,Angelina S Hunt,518,09/2013,09/2031,27,8801,108700
AX,American Express,Bank of America,343939006362920,Jose Nieves,9042,09/2009,09/2020,11,8625,138300
JC,Japan Credit Bureau,JCB,3585784463252110,Maddie O Ridley,790,01/2013,01/2024,12,2839,27800
AX,American Express,American Express,370833463339552,Ernest T Rosario,9391,02/2012,02/2016,15,3514,174600
JC,Japan Credit Bureau,JCB,3542744492903556,Lurline Jarnigan,570,04/2009,04/2017,2,8411,86200
AX,American Express,Bank of America,340815592751077,Joel O Mills,6346,09/2011,09/2015,22,2325,90800
MC,Master Card,Barclays,5125241447684084,Modesta Kersten,887,04/2010,04/2028,12,6643,181500
AX,American Express,American Express,372869262526195,Joyce O Coffey,6988,11/2008,11/2026,4,9885,107100
JC,Japan Credit Bureau,JCB,3567316412299199,Iluminada Wible,820,11/2008,11/2025,19,8441,106100
DS,Discover,Discover,6575407601794232,Karen V Aguirre,303,10/2014,10/2026,19,7306,56900
DC,Diners Club International,Diners Club,30028289028016,Jimmie W Burchfield,122,06/2011,06/2025,21,8988,63600
AX,American Express,American Express,342406832478214,Joseph G George,4844,02/2010,02/2022,13,3488,26300
AX,American Express,American Express,377275013437002,Danilo X Falcone,3874,02/2013,02/2015,28,8220,178300
AX,American Express,American Express,343673012478251,Katherine M Burgess,2209,03/2012,03/2023,4,8705,18400
DC,Diners Club International,Diners Club,30409425658033,Jannie P Veazey,264,12/2013,12/2029,12,5086,73400
DS,Discover,Discover,6011327289955370,Danny Q Ingram,996,08/2009,08/2018,18,6810,172200
DC,Diners Club International,Diners Club,30416239191465,Sung N Kurtz,401,05/2014,05/2022,11,5914,22600
JC,Japan Credit Bureau,JCB,3569628500819862,Kathy I Patel,886,05/2016,05/2028,16,5146,67000
AX,American Express,American Express,373836395641539,Ivory M Watlington,1104,10/2016,10/2025,16,9690,89800
DS,Discover,Discover,6447108765975171,Suzanne V Morrow,651,02/2010,02/2015,3,3712,64600
DC,Diners Club International,Diners Club,30910176727273,Katina E Bechtel,249,10/2017,10/2034,8,5560,188600
DC,Diners Club International,Diners Club,39127311217786,Melissa R Huffman,089,08/2015,08/2022,7,7646,86800
JC,Japan Credit Bureau,JCB,3539100128916188,Guy Senters,878,12/2017,12/2027,17,0377,44400
JC,Japan Credit Bureau,JCB,3569514357789715,Dennis Z Moody,723,04/2010,04/2019,28,9592,15000
JC,Japan Credit Bureau,JCB,3556642093867191,Ardella Pearce,803,11/2017,11/2030,3,6595,181300
VI,Visa,Chase,4516873261379019,Laura W Simmons,699,07/2008,07/2020,14,1019,54400
MC,Master Card,USAA,5287013403816545,Lucina C Worcester,672,06/2009,06/2016,28,3327,162700
DC,Diners Club International,Diners Club,30921078800472,Jane C Harrell,849,09/2007,09/2027,19,4035,24800
VI,Visa,Wells Fargo,4851044995092079,Staci Corkery,202,05/2008,05/2012,17,5886,55800
VI,Visa,Chase,4955209433924598,Pamela A Delacruz,009,09/2013,09/2023,18,7785,195800
DC,Diners Club International,Diners Club,30449502252185,Princess Forrester,159,11/2013,11/2019,28,1605,110900
MC,Master Card,Bank of America,5247350284539674,Sylvia W Delgado,965,08/2014,08/2029,16,5972,61500
DC,Diners Club International,Diners Club,30549555807320,Tony N Ertel,124,07/2017,07/2028,8,2266,159600
DS,Discover,Discover,6011953821343898,Crystal Hodges,933,01/2010,01/2029,17,4576,51000
DC,Diners Club International,Diners Club,30177902726124,Lannie K Hodgkins,443,12/2016,12/2019,4,5941,92400
JC,Japan Credit Bureau,JCB,3563621823695487,Victor R Ferguson,830,03/2009,03/2027,7,1336,192000
DC,Diners Club International,Diners Club,30969590124467,Frank U Coffey,498,03/2012,03/2017,9,3559,160800
DS,Discover,Discover,6502463335157988,Carmen P Hopper,609,10/2012,10/2015,18,1041,57500
DS,Discover,Discover,6227162610381784,Michel Q Hoisington,622,11/2009,11/2015,2,8013,90300
MC,Master Card,Wells Fargo,5228673838326402,Lori Boone,648,09/2012,09/2013,21,3219,194000
DS,Discover,Discover,6011460217906007,Marvis K Topping,290,09/2017,09/2021,10,6116,25400
DC,Diners Club International,Diners Club,39079622874401,Thomas M Booker,485,12/2017,12/2034,5,1253,138900
DS,Discover,Discover,6226290812743930,Adolfo D Dashner,999,02/2009,02/2016,21,6227,107700
VI,Visa,Chase,4774425816710441,Manuel W Petersen,547,10/2013,10/2028,4,4526,164700
DC,Diners Club International,Diners Club,30940740810982,Marcelina Knisely,432,06/2016,06/2018,28,6845,91700
DC,Diners Club International,Diners Club,39702597939236,Jack Melton,487,11/2013,11/2033,1,7615,52700
VI,Visa,Chase,4941571729164842,Danilo B Tomblin,283,06/2015,06/2035,26,3999,76200
DS,Discover,Discover,6228522904322621,Lois Silva,916,07/2014,07/2023,11,3135,36500
DS,Discover,Discover,6011663019031458,Stuart M Edinger,606,05/2014,05/2026,5,7740,51200
DS,Discover,Discover,6011440181192347,Leslie J Kinney,041,02/2011,02/2026,1,7266,165500
DS,Discover,Discover,6560077343361207,Nancey M Orta,938,12/2009,12/2016,18,0537,190900
JC,Japan Credit Bureau,JCB,3548941582660088,Ruby Y Pitts,139,06/2017,06/2026,11,9548,91200
AX,American Express,American Express,374463761489309,Damaris C Regnier,9318,11/2016,11/2024,27,2916,69000
DC,Diners Club International,Diners Club,30051302910085,Melissa J Richardson,579,09/2012,09/2026,14,0988,184800
DC,Diners Club International,Diners Club,30473416842782,Casimira M Sowders,677,11/2007,11/2025,5,4121,153400
DC,Diners Club International,Diners Club,30988973570690,Alfred T Mathis,839,04/2016,04/2019,11,7053,190300
JC,Japan Credit Bureau,JCB,3548793462591077,Ivory X Maio,661,09/2007,09/2025,16,8138,49300
DC,Diners Club International,Diners Club,30969766059232,Darrell M Mays,753,04/2011,04/2013,8,4611,28900
VI,Visa,Chase,4691280497699326,Alexis K Wason,620,12/2016,12/2025,5,7882,172700
MC,Master Card,Citibank,5402748291621487,Ricky Z Jackson,682,02/2016,02/2030,11,4376,194100
AX,American Express,U.S. Bancorp,371295928561114,Major K Buse,9514,10/2011,10/2026,18,2852,90600
DC,Diners Club International,Diners Club,30030334471829,Derrick L Decker,083,11/2015,11/2028,1,2922,175000
MC,Master Card,Chase,5243450382107129,Frederick Veal,212,09/2017,09/2032,4,8089,112700
JC,Japan Credit Bureau,JCB,3545404063428122,Beth Jacobson,607,12/2012,12/2026,4,0838,47600
DS,Discover,Discover,6011483896898998,Leopoldo A Reza,640,06/2011,06/2012,22,4718,36700
MC,Master Card,Citibank,5158147674913064,David V Mann,987,02/2011,02/2021,16,6067,152800
JC,Japan Credit Bureau,JCB,3531733455924850,Mason X Wingert,683,07/2008,07/2026,24,4925,17700
JC,Japan Credit Bureau,JCB,3537653695264061,Rachel Z Jennings,931,04/2009,04/2016,5,4014,104600
VI,Visa,GE Capital,4057008681238652,Jacki D Coca,999,04/2011,04/2017,8,6639,26600
JC,Japan Credit Bureau,JCB,3584852332122813,Lois J Miller,738,06/2017,06/2022,18,8462,127800
AX,American Express,American Express,342824890947575,Sarina Bolick,5411,04/2017,04/2023,15,5771,115900
AX,American Express,U.S. Bancorp,374922229038453,Kim T Kane,4452,01/2016,01/2028,2,9885,168100
DC,Diners Club International,Diners Club,30943879401342,Charlena Crothers,326,06/2010,06/2015,2,6294,140700
DC,Diners Club International,Diners Club,30925024818348,Clifford U Mathews,263,07/2013,07/2023,21,0194,60900
DS,Discover,Discover,6489740296254632,Katrina H Blakeley,934,09/2013,09/2026,20,0987,109000
AX,American Express,U.S. Bancorp,374818123060223,Ryan Potts,7766,08/2014,08/2033,4,5498,98900
JC,Japan Credit Bureau,JCB,3588367153997116,Ferdinand I Bormann,066,01/2015,01/2020,6,8167,94800
JC,Japan Credit Bureau,JCB,3580698783017976,Hazel Mullins,496,05/2011,05/2020,16,0932,55500
JC,Japan Credit Bureau,JCB,3543605406113138,Sung Midkiff,135,01/2017,01/2029,24,2193,30900
JC,Japan Credit Bureau,JCB,3547753920674163,Jeremy E Kent,273,09/2014,09/2032,5,4120,92500
MC,Master Card,Chase,5262771105117574,Stephan Ducksworth,939,05/2016,05/2027,4,8084,122800
MC,Master Card,Chase,5474286226656412,Carolyn L Farrell,254,12/2015,12/2033,6,6332,182900
AX,American Express,American Express,377474777263221,Garry R Mccowan,0893,07/2015,07/2032,24,3048,13100
DS,Discover,Discover,6011132772288481,Travis E Gutierrez,221,05/2008,05/2013,13,2896,51800
JC,Japan Credit Bureau,JCB,3560037977127230,Alexander F Kulick,596,04/2014,04/2019,16,0235,195000
DC,Diners Club International,Diners Club,30140104959539,Bill V Pope,698,02/2011,02/2017,2,6940,163600
JC,Japan Credit Bureau,JCB,3541505101111415,Samuel N Carnevale,742,06/2011,06/2024,27,2535,97100
AX,American Express,Bank of America,348386468451400,Marvin Thomas,1755,06/2007,06/2016,9,3003,148800
MC,Master Card,GE Capital,5210039290722704,Cassidy S Baugh,965,11/2009,11/2012,16,6715,44900
DS,Discover,Discover,6011178363277284,Louis V Gonzalez,499,04/2008,04/2015,18,9603,48400
MC,Master Card,Citibank,5112024907857464,Venice J Florence,441,06/2013,06/2017,28,0739,95400
MC,Master Card,Capital One,5420638129504914,Gladys Y Campos,339,09/2009,09/2026,14,2307,102700
MC,Master Card,Citibank,5234885305235351,Tarsha D Glennon,821,02/2009,02/2029,19,9547,194300
MC,Master Card,Chase,5266674890743610,Robert Witt,981,01/2009,01/2018,22,1372,185100
VI,Visa,PNC,4778532705270803,Mui G Lock,420,01/2008,01/2024,16,7133,69400
JC,Japan Credit Bureau,JCB,3557985880750370,Kathy N Fry,198,10/2007,10/2021,1,0521,26400
DS,Discover,Discover,6471288437766692,Jere Dixon,838,04/2007,04/2009,14,5220,173600
AX,American Express,American Express,345895646595501,Grace A Lucas,8067,10/2007,10/2024,6,5910,93100
DS,Discover,Discover,6011741190100522,Walter H Bailes,141,02/2015,02/2028,25,1352,94700
VI,Visa,Chase,4022725295012148,Cheryl Bass,793,07/2007,07/2012,12,6860,180000
DS,Discover,Discover,6461689970888474,Clelia J Canale,477,12/2012,12/2027,13,1714,22200
JC,Japan Credit Bureau,JCB,3578201179632294,Marjorie Q Mcmahon,962,02/2014,02/2026,4,2398,46300
JC,Japan Credit Bureau,JCB,3562267002553237,Gail A Frei,146,02/2011,02/2018,17,6481,74100
DC,Diners Club International,Diners Club,30212407536494,Lynn R Cherry,022,05/2010,05/2029,23,0196,11500
DS,Discover,Discover,6011436843471525,Mickie D Fielden,053,02/2010,02/2023,25,8036,125100
JC,Japan Credit Bureau,JCB,3569102585801831,William J Small,369,03/2017,03/2021,9,6939,42700
JC,Japan Credit Bureau,JCB,3551417578016282,Robyn I Dill,961,06/2016,06/2029,26,4833,168400
DC,Diners Club International,Diners Club,30419946900921,Eva O Albert,885,10/2008,10/2028,19,1716,96300
VI,Visa,Bank of America,4992119678778267,Bryon K Hy,017,04/2007,04/2021,5,6250,146100
DC,Diners Club International,Diners Club,30434076004444,Martin J Harding,917,01/2017,01/2018,3,6468,151600
VI,Visa,PNC,4330552821431809,Merrilee S Dalton,619,06/2017,06/2036,27,6229,133700
MC,Master Card,U.S. Bancorp,5231731797235850,Stanley U Rivers,679,08/2013,08/2014,17,0079,132200
MC,Master Card,Capital One,5410957967131677,Gilberto F Stookey,456,05/2010,05/2027,9,6008,100700
DC,Diners Club International,Diners Club,30348527518754,Jessica W Mcconnell,154,11/2010,11/2021,28,5155,148600
DC,Diners Club International,Diners Club,30961341409214,Florencio D Colombo,897,09/2017,09/2034,15,8783,37500
MC,Master Card,Citibank,5461680450207436,Edith J Kirkland,336,11/2013,11/2024,13,9069,23600
DC,Diners Club International,Diners Club,30578096734065,Terrell Z Erhart,078,08/2007,08/2020,20,1581,144800
VI,Visa,Wells Fargo,4790864645401865,Corey G Fowler,676,02/2015,02/2019,11,3314,148000
JC,Japan Credit Bureau,JCB,3538321612076351,Araceli Frary,292,05/2017,05/2020,22,2181,71400
VI,Visa,USAA,4826676013561692,Tracy W Moses,516,07/2016,07/2030,14,7753,62800
AX,American Express,U.S. Bancorp,372222917658916,Calvin O Whitfield,9008,06/2013,06/2015,5,1388,31500
JC,Japan Credit Bureau,JCB,3543666614477616,Ellen L Foster,194,05/2017,05/2035,12,8806,142500
MC,Master Card,Citibank,5498409461495674,Paige W Currey,188,04/2016,04/2029,19,3463,31700
DC,Diners Club International,Diners Club,30998912408290,Matthew X Richard,125,08/2007,08/2012,6,3141,18100
JC,Japan Credit Bureau,JCB,3546165162317792,Thomasena D Vail,657,11/2008,11/2013,6,0034,135200
DC,Diners Club International,Diners Club,39862306352020,Joe Y Ochoa,934,08/2016,08/2034,6,0948,160700
DC,Diners Club International,Diners Club,30375422140327,Shay Marinelli,545,06/2007,06/2025,2,5301,177100
DC,Diners Club International,Diners Club,30460898048939,Beth Y Woodard,145,09/2013,09/2016,27,5333,170000
AX,American Express,American Express,348860813732227,Madison G Dennison,3938,02/2007,02/2015,11,2833,53400
AX,American Express,U.S. Bancorp,373353522994823,Allen X Bentley,9650,11/2013,11/2023,11,6918,91700
MC,Master Card,Chase,5298725251224046,Dora Crisp,907,11/2009,11/2017,14,6786,44200
AX,American Express,American Express,342445008833158,Bobby House,5646,12/2012,12/2024,5,5187,115000
VI,Visa,GE Capital,4808908215781956,Tamera W Rehm,408,11/2013,11/2030,12,2845,106100
MC,Master Card,Chase,5291566450282659,Erica Booth,700,02/2015,02/2021,18,0663,127900
VI,Visa,Capital One,4509183906646379,Israel Liverman,454,04/2012,04/2032,3,6705,161100
VI,Visa,Barclays,4409355474595805,Daniel K Justice,997,04/2008,04/2017,16,4464,86700
DC,Diners Club International,Diners Club,30258981858556,Karleen Bannon,843,07/2007,07/2009,23,0406,32100
AX,American Express,USAA,349292126706939,Jon Y Mcleod,5174,12/2012,12/2023,23,4303,114000
MC,Master Card,Bank of America,5342493222392840,Delana Couch,032,07/2009,07/2014,19,9325,196800
VI,Visa,Cabela’s WFB,4088772450931218,Stacy M Pearson,254,03/2016,03/2031,24,8494,44000
JC,Japan Credit Bureau,JCB,3533380338637016,Jordan K Lambright,943,08/2009,08/2025,12,5156,13800
AX,American Express,Bank of America,379730484296624,Clarence H Ayala,5378,04/2009,04/2027,2,2036,85500
MC,Master Card,USAA,5109144773777755,Ernestine A Satterlee,146,06/2013,06/2026,2,2670,10200
MC,Master Card,Chase,5475671841887576,Jon B Silva,689,12/2012,12/2019,12,1323,137700
VI,Visa,Chase,4667225982993668,Charles L Gigliotti,146,05/2008,05/2015,21,0576,38300
DC,Diners Club International,Diners Club,30963047384980,Tom W Kane,888,08/2012,08/2020,8,6550,92500
DC,Diners Club International,Diners Club,30453513302245,Takako M Corbett,672,07/2007,07/2015,25,9306,174900
