Card Type Code,Card Type Full Name,Issuing Bank,Card Number,Card Holder's Name,CVV/CVV2,Issue Date,Expiry Date,Billing Date,Card PIN,Credit Limit
HC,Hipercard,Bank of America,2221107850360100,Roscoe Rosenbaum,774,11/2020,04/2025,13,9906,926423
JC,JCB,Japan Credit Bureau,4573931637684056,Mollie Nitzsche,564,11/2008,03/2012,18,1131,878032
AX,American Express,American Express,376015208204135,Sofia Hermann,445,04/2014,07/2018,25,5822,22240
UP,UnionPay,GE Capital,3059137790267292,Kaley Kerluke,553,09/2015,01/2019,24,6004,488055
DS,Discover,Discover,50677971695618,Christian Cartwright,354,03/2000,01/2005,9,4366,122470
AX,American Express,American Express,3656793505735492816,Weldon Goyette,676,12/2000,04/2005,7,2708,336975
DS,Discover,Discover,2336706015580866,Roma Murphy,203,01/2005,09/2009,11,9637,315740
DS,Discover,Discover,6504050517708262,Elmo Parisian,269,05/2015,04/2020,26,5417,466985
EO,Elo,GE Capital,2702453766000994,Garfield Harber,898,07/2000,09/2003,26,9616,872939
VI,Visa,Bank of America,5041756602966860,Alivia Hand,659,09/2009,10/2012,15,4888,297142
JC,JCB,Japan Credit Bureau,6375686317244762,Leo Barrows,843,09/2008,05/2012,14,6320,577725
VI,Visa,GE Capital,213159506982545349,Rashawn Donnelly,342,08/2006,02/2011,20,4448,868734
DS,Discover,Discover,5090009346401780,Roscoe OReilly,726,12/2006,02/2011,24,5937,562182
VI,Visa,Wells Fargo,3008026671217628047,Vivian Kuhn,310,05/2020,01/2025,17,3467,622912
HR,Hiper,U.S. Bancorp,340392706084670,Nicholas Denesik,897,08/2017,03/2021,11,2359,260244
DS,Discover,Discover,2717478481490348,Vaughn Deckow,125,05/2006,01/2011,14,1730,341184
JC,JCB,Japan Credit Bureau,6011441235850948,Ellen Mayer,813,09/2004,04/2008,11,5698,704396
DS,Discover,Discover,6509015991238859,Eve Gulgowski,238,06/2016,10/2019,25,3629,570049
HC,Hipercard,Bank of America,6515779293044529,Coleman Lueilwitz,390,01/2011,11/2014,19,3827,170569
MC,Mastercard,GE Capital,62725251603608,Aurelio Dietrich,819,11/2012,02/2016,24,2599,520697
AX,American Express,American Express,352852584548568952,Marjory Tromp,310,10/2011,10/2015,17,9685,189813
HR,Hiper,GE Capital,35890511166232061,Roosevelt Jerde,251,11/2007,08/2012,8,5064,720837
JC,JCB,Japan Credit Bureau,6550192095721490,Brant Collier,852,02/2005,01/2010,25,8171,506639
JC,JCB,Japan Credit Bureau,6500359085326900,Rupert Feest,2285,05/2016,10/2019,22,7513,813724
VI,Visa,Capital One,5930065611159309,Mortimer Klocko,735,03/2002,06/2005,7,9798,771023
HR,Hiper,Wells Fargo,6504053699332679,Erin Nader,424,10/2011,08/2016,6,3332,984930
JC,JCB,Japan Credit Bureau,5570264585006993,Lily Mills,776,01/2019,01/2023,1,5220,24450
EO,Elo,U.S. Bancorp,6062829129623462,Gaylord Wuckert,229,07/2019,06/2023,26,6918,445913
MC,Mastercard,GE Capital,5066989282231558,Patsy Durgan,720,05/2014,03/2019,11,6523,470742
UP,UnionPay,Bank of America,508999417647,Joyce Kiehn,213,04/2009,08/2013,23,8114,238137
JC,JCB,Japan Credit Bureau,6062821143104025,Korey Hickle,986,09/2003,06/2007,10,1341,406754
DS,Discover,Discover,3528078451514288,Loren Brakus,412,07/2013,04/2018,19,5384,125129
MC,Mastercard,Wells Fargo,3002273295289417395,Corrine Gerhold,292,08/2008,12/2011,13,9727,467354
AX,American Express,American Express,6375687169916960,Edgar Tremblay,730,09/2008,08/2012,3,2871,741989
MC,Mastercard,Chase,6292608863108223979,Fannie Dicki,145,05/2014,08/2017,6,9297,855222
MC,Mastercard,Wells Fargo,49369830651679401,Raul Rosenbaum,105,12/2019,05/2024,17,2282,9012
MC,Mastercard,Wells Fargo,6375991962753509,Waylon Cassin,355,12/2018,01/2023,1,5954,349401
VI,Visa,Bank of America,2229306560174270,Clark Wolff,839,05/2018,08/2021,2,9011,929693
EO,Elo,U.S. Bancorp,6492301730719144736,Marilou Quigley,701,08/2018,03/2022,1,5573,892184
EO,Elo,Wells Fargo,343501117486699,Gabriella Sauer,610,04/2012,02/2017,10,4267,925863
MT,Maestro,Wells Fargo,6533293663239840,Boris Padberg,517,02/2009,05/2012,2,7200,274631
HR,Hiper,Capital One,506698657063111,Ebba Osinski,339,10/2009,10/2012,1,1288,268388
HR,Hiper,Chase,81040958370411382,Millie Langworth,507,11/2003,03/2007,17,9992,392570
VI,Visa,Wells Fargo,4518851870912832,Halie Lakin,931,01/2000,08/2003,9,2022,274935
MT,Maestro,Capital One,3528318946317552,Ezekiel Carroll,2439,04/2005,11/2009,9,2243,383225
HR,Hiper,Bank of America,6062820999472361,Aurore Kovacek,105,02/2010,07/2014,10,3095,93507
MC,Mastercard,Wells Fargo,18008243962605010,Carole Hodkiewicz,353,06/2007,04/2012,24,7143,486630
MT,Maestro,U.S. Bancorp,6559370750780055928,Beaulah Cremin,270,02/2020,04/2023,14,6163,37411
UP,UnionPay,GE Capital,3616695142719589,Kaylin Hand,110,11/2016,01/2020,4,5728,848438
MT,Maestro,Capital One,2230953764167282,Rowland Bashirian,922,03/2007,06/2011,2,3932,57412
VI,Visa,Wells Fargo,30562885269434,Britney Weber,614,12/2000,12/2005,18,4728,926503
MT,Maestro,Wells Fargo,4861468848938980,Jacklyn Brown,846,01/2016,01/2020,10,1141,317368
MC,Mastercard,Chase,49369839954403,Demario Heller,560,08/2014,08/2018,22,4936,575740
UP,UnionPay,Capital One,605787440045,Saige Wiza,631,11/2006,02/2011,3,3169,179753
UP,UnionPay,Bank of America,6596293665873040098,Jaiden Spencer,309,08/2011,11/2014,8,8190,597458
VI,Visa,Barclays,6389238542543,Madelyn Spencer,292,12/2014,11/2018,23,5079,337536
VI,Visa,Bank of America,35283995471078399,Lee Simonis,176,06/2010,06/2014,20,9314,452916
UP,UnionPay,Bank of America,5099993066797942,Gayle Little,926,09/2005,05/2009,11,3171,765918
VI,Visa,GE Capital,6267221663938800700,Gilbert Beier,503,03/2003,12/2006,6,3655,553300
DC,Diners Club,Diners Club International,4277572502831098,Keara Cremin,275,07/2014,06/2018,12,6088,706927
UP,UnionPay,Barclays,6375681203537429,Earline Larson,326,01/2005,03/2008,22,5835,4335
HR,Hiper,Bank of America,6062822194661269,Marge Osinski,429,01/2015,04/2018,26,4807,9286
EO,Elo,GE Capital,2131108802164755,Jed Christiansen,441,07/2009,11/2012,27,2054,628243
AX,American Express,American Express,373292414076762,Lorenza Harvey,977,07/2020,02/2024,5,7234,676361
DC,Diners Club,Diners Club International,344592625391991,Monserrat Hintz,427,06/2017,01/2022,4,3511,502508
HC,Hipercard,Barclays,6376124851746637,Jessika Lesch,978,06/2014,06/2018,25,7325,413602
DS,Discover,Discover,6494193032720610,Garth Baumbach,851,06/2016,09/2020,21,2748,183087
VI,Visa,GE Capital,6493182984612819,Eunice Weber,930,10/2016,06/2021,21,5476,720165
UP,UnionPay,Chase,6441566436931368,Michel Wehner,709,05/2016,04/2020,18,3047,51887
HR,Hiper,Capital One,3050641276519570,Felicity Casper,9168,09/2018,09/2021,1,5590,60788
HC,Hipercard,Bank of America,493698216596758298,Jerrold Kulas,943,02/2009,10/2013,25,6919,418707
UP,UnionPay,Barclays,6062824069647621,Arvid Wyman,4303,10/2000,06/2004,3,5749,158027
MC,Mastercard,Chase,2711895095264643,Hiram Harris,775,12/2004,10/2008,10,3926,105296
EO,Elo,Capital One,4533070917579329,Forrest Block,630,10/2012,08/2017,6,1053,623351
HR,Hiper,Barclays,4048426117355746,Lew Cole,330,12/2001,11/2005,17,6885,658438
MT,Maestro,Wells Fargo,8163910946379282,Chandler Walter,958,11/2010,11/2014,20,6667,676895
VI,Visa,GE Capital,35287138953205059,Lauryn Bahringer,5436,07/2000,07/2004,1,7443,774302
DC,Diners Club,Diners Club International,6376121707868748,Camilla Lehner,957,02/2018,07/2021,9,8148,835212
MT,Maestro,Barclays,341541919699190,Brendon Veum,677,12/2009,08/2014,2,1417,6354
DS,Discover,Discover,6441273843935229,Zoila Monahan,624,01/2007,07/2011,7,9859,463698
JC,JCB,Japan Credit Bureau,6507204266328700,Joana Waelchi,603,10/2020,04/2025,16,1404,148985
HR,Hiper,Wells Fargo,4337474681158849,Chauncey Waters,747,06/2009,06/2012,20,1440,91313
DC,Diners Club,Diners Club International,1800002040033835,Eldridge Jast,2341,04/2017,01/2021,15,9143,205469
VI,Visa,Chase,4011788199379354,Wiley Koss,760,12/2002,06/2006,25,5352,441446
MC,Mastercard,Wells Fargo,3835857346771066302,Ike Bode,332,05/2006,06/2009,19,5028,325952
DS,Discover,Discover,6062820944389538,Marcia Rice,180,04/2000,11/2004,13,5831,580219
HR,Hiper,Wells Fargo,2131994681745502308,Gerson Schuster,980,10/2018,07/2023,4,5644,513481
MC,Mastercard,Wells Fargo,813272868759315689,Zakary Macejkovic,156,01/2019,01/2024,6,2123,446091
DS,Discover,Discover,3009709518294633,Hulda Crona,454,03/2006,11/2009,1,3506,55781
DC,Diners Club,Diners Club International,62187712302713453,Leslie Ziemann,655,05/2009,08/2012,11,3780,794075
UP,UnionPay,Chase,6500519154795018,Deangelo Hammes,763,11/2002,09/2007,6,9441,677408
MC,Mastercard,Capital One,2320522861298828,Jodie Walter,644,02/2006,10/2010,1,1946,753536
HR,Hiper,Barclays,373924336346267,Alyce Becker,670,05/2001,10/2005,3,1204,77189
UP,UnionPay,Barclays,6546497401477578708,Franz Pacocha,617,11/2019,12/2023,27,4073,669646
DS,Discover,Discover,6062821965096317,Roy Wunsch,505,01/2004,08/2007,3,2347,785693
HR,Hiper,Chase,6590160358243261676,Randall Kunze,464,04/2011,07/2014,24,7099,767314
EO,Elo,Bank of America,38530976673642,Jewel Champlin,238,11/2008,05/2012,7,8414,854279
DS,Discover,Discover,5066988303801308,Jasen Rice,615,04/2018,11/2021,15,3662,297903
DC,Diners Club,Diners Club International,6441189985169753691,Frederick Swift,227,07/2014,10/2017,25,5204,123625
JC,JCB,Japan Credit Bureau,3589859891616032929,Georgianna McGlynn,213,05/2000,01/2005,18,5951,223222
EO,Elo,Capital One,639832980028,Sandy Schmeler,6830,08/2018,04/2022,5,1992,556887
MT,Maestro,Chase,694452058504575086,Delpha Bednar,856,03/2007,11/2011,7,4700,151830
UP,UnionPay,Capital One,673519875779274920,Lloyd Emard,755,04/2006,12/2009,16,4725,350064
EO,Elo,U.S. Bancorp,6375994346620618,Joesph Ryan,450,03/2000,05/2004,11,7780,284920
HC,Hipercard,Barclays,6505410022798423,Thaddeus Block,753,12/2015,02/2020,7,3527,588863
UP,UnionPay,Bank of America,6507181839209684,Maddison Cassin,420,11/2019,03/2024,16,9332,115712
MC,Mastercard,U.S. Bancorp,6495060954518137741,Kiarra Bartell,967,11/2018,02/2023,1,6682,855396
JC,JCB,Japan Credit Bureau,4801115221967663,Michael Schultz,722,01/2005,01/2010,14,9487,341268
JC,JCB,Japan Credit Bureau,379880109085595,Jaylin Murazik,884,01/2013,07/2017,16,8606,625691
DC,Diners Club,Diners Club International,38373463467404,Maiya Eichmann,763,02/2011,08/2015,1,6291,76311
MC,Mastercard,GE Capital,4011784925907824,Isac Muller,184,06/2020,01/2025,27,5393,345852
MT,Maestro,Wells Fargo,6375994738746948,Maximillia Morar,106,01/2014,07/2018,20,7848,58456
MT,Maestro,Capital One,6062822148454688,Ewald Hilll,463,11/2004,10/2009,6,6563,89920
AX,American Express,American Express,1800432721444169,Gladys Bauch,576,03/2020,08/2023,19,2936,84095
DS,Discover,Discover,6768556053182725898,Aylin Hilll,6424,04/2002,11/2005,4,8244,732158
UP,UnionPay,Barclays,6604964264184179009,Liza Kuphal,410,07/2005,05/2009,26,3617,55420
MT,Maestro,Bank of America,6550211977130982,Lesly Beier,579,08/2001,07/2006,27,4079,246385
DC,Diners Club,Diners Club International,370572233213602,Genoveva Pacocha,6035,06/2003,09/2006,5,8599,883067
AX,American Express,American Express,4026390382144084,Kailyn Auer,394,08/2014,05/2019,4,7742,940973
MT,Maestro,U.S. Bancorp,6363683081403447,Dasia Tromp,977,06/2008,03/2013,2,2423,188124
HR,Hiper,Bank of America,6062821724419008,Teagan Kuhlman,736,06/2001,04/2006,17,4486,977130
MT,Maestro,U.S. Bancorp,6376091784652697,Aleen Schmitt,486,05/2006,03/2010,22,5385,82521
AX,American Express,American Express,2229483631139077,Emery Crona,335,06/2015,11/2018,27,4250,261202
HC,Hipercard,Capital One,4653547801839574,Luisa Kilback,4071,07/2014,09/2017,20,5620,331346
HR,Hiper,U.S. Bancorp,180094989695121203,Roxane Auer,657,05/2007,05/2011,27,4960,245245
DC,Diners Club,Diners Club International,371905437439483,Beryl Wehner,926,04/2014,10/2018,9,9016,804697
MC,Mastercard,U.S. Bancorp,6507007495033078,Mollie Yundt,598,02/2006,09/2009,17,8818,682770
DC,Diners Club,Diners Club International,6494327823651887,Lauryn Mann,263,09/2017,12/2020,22,7535,63684
MC,Mastercard,GE Capital,6492313543076060,Brooke Jacobson,141,01/2000,11/2003,23,4882,404371
AX,American Express,American Express,4576319441055043,Sid Hauck,609,09/2004,01/2009,24,3905,930494
HC,Hipercard,GE Capital,6449286675175070,Destinee Legros,948,12/2005,03/2009,26,2485,788888
EO,Elo,Chase,6011617567253407518,Madilyn Kris,993,07/2004,05/2008,12,1039,16110
AX,American Express,American Express,4746127883830012,Kitty Thompson,898,11/2003,03/2008,8,9534,895235
DC,Diners Club,Diners Club International,4534659368948600,Erna Crona,171,01/2010,05/2014,26,1827,860753
VI,Visa,Capital One,6062824663031461,Vickie Altenwerth,910,10/2016,11/2019,4,4255,9822
UP,UnionPay,U.S. Bancorp,62683375555198,Alexys Gutmann,674,06/2016,07/2019,24,6787,450106
HR,Hiper,GE Capital,4496945602586819,Ervin Nienow,7865,04/2007,10/2011,2,1882,36937
MT,Maestro,Chase,62182627854806528,Isaiah Upton,250,02/2003,04/2007,21,3796,668125
EO,Elo,U.S. Bancorp,3003942241472285388,Marilyne Conroy,516,10/2015,06/2019,26,3414,537808
HC,Hipercard,U.S. Bancorp,4201515257101085,Mustafa Wyman,967,08/2019,02/2023,13,5670,191301
HC,Hipercard,Capital One,6062825929221804,Emiliano Buckridge,747,04/2019,03/2023,4,1986,477081
EO,Elo,Barclays,6550006320272600,Kaylah Hyatt,2262,11/2019,02/2024,22,2727,911974
JC,JCB,Japan Credit Bureau,3924053847052202,Rosella Nienow,582,11/2008,02/2012,23,6966,783602
DC,Diners Club,Diners Club International,2229649770328909,Tess Murazik,1885,08/2003,02/2008,4,8632,893554
DC,Diners Club,Diners Club International,21313091365634481,Ken Deckow,710,09/2019,08/2024,16,6639,902865
DS,Discover,Discover,6547997838325700252,Della Watsica,516,12/2001,11/2005,14,6395,424321
MC,Mastercard,Barclays,2131996379105049,Efrain Mante,235,02/2014,04/2017,21,4702,807342
JC,JCB,Japan Credit Bureau,6011338297601930,Pinkie Block,815,07/2005,07/2009,14,2093,786771
VI,Visa,Chase,626867875351583,Jada Runolfsdottir,751,09/2016,11/2020,13,9639,483938
DS,Discover,Discover,6550196343956329,Lacey Jewess,593,01/2020,07/2024,1,3446,763339
JC,JCB,Japan Credit Bureau,2713327177352789,Rebeka Grant,459,12/2019,09/2023,25,1063,143010
DC,Diners Club,Diners Club International,6011196692538678490,Eda Streich,5008,01/2000,03/2003,7,1292,330447
DS,Discover,Discover,566954527297,Alexandro Steuber,368,06/2012,07/2015,1,9011,224557
MC,Mastercard,Capital One,3607024727981180309,Karina Bruen,415,10/2016,05/2020,16,9512,189486
MT,Maestro,U.S. Bancorp,3958825849572161833,Karina Marquardt,3986,09/2007,04/2011,2,5087,614958
JC,JCB,Japan Credit Bureau,6512565982057800181,Makenna Willms,431,07/2017,07/2020,18,5256,523466
VI,Visa,Wells Fargo,374090373467223,Lucie Howe,918,09/2020,11/2024,11,8960,452524
DC,Diners Club,Diners Club International,4110751970924939,Domenica Harvey,301,10/2017,02/2021,16,4477,560943
UP,UnionPay,GE Capital,36132007158099,Opal Lind,101,09/2012,02/2016,25,5288,756099
HC,Hipercard,U.S. Bancorp,3054489333236002,Savion Lehner,521,03/2007,06/2010,23,5894,573595
HC,Hipercard,Chase,6363687465543520,Eldon Wisoky,340,09/2011,02/2015,9,7565,137634
DS,Discover,Discover,6446982644246702,Aurore Dickinson,678,10/2015,12/2019,22,8884,713771
JC,JCB,Japan Credit Bureau,5973935537335,Era Hegmann,772,06/2018,04/2023,7,4156,986464
VI,Visa,Wells Fargo,6375683002551221,Myrna Dickens,497,06/2010,02/2014,21,4565,136316
JC,JCB,Japan Credit Bureau,6504393878780128,Brionna Nicolas,871,10/2006,08/2010,9,4138,344080
MT,Maestro,Wells Fargo,6062823050324646,Alison Botsford,6706,03/2010,02/2015,27,1814,181219
VI,Visa,Wells Fargo,6376129071108062,Sidney Ziemann,138,02/2018,02/2022,13,6696,9158
MT,Maestro,GE Capital,4936983848467,Christiana Hand,250,12/2006,05/2011,9,4660,480635
UP,UnionPay,Capital One,508999126558782,Ayla Bailey,495,12/2007,03/2012,1,9366,604999
EO,Elo,U.S. Bancorp,67310012630078,Breanna Doyle,201,12/2011,05/2016,21,1746,166893
VI,Visa,Wells Fargo,6062823397452118,Morton Sipes,650,07/2010,10/2014,19,4902,794732
DS,Discover,Discover,2610030907307057,Arthur Torphy,2374,09/2015,10/2018,18,1445,113085
MC,Mastercard,Barclays,6504399308525892,Gussie Wolff,608,12/2018,09/2022,26,5304,737266
MT,Maestro,Capital One,6062822295274178,Elliott Conroy,655,10/2012,12/2016,12,6669,171860
MC,Mastercard,Bank of America,2238702134515726,Margarita Kozey,151,06/2004,08/2008,5,7084,499737
JC,JCB,Japan Credit Bureau,1800444304338908,Meggie Thiel,612,04/2010,04/2013,3,3764,31199
HR,Hiper,U.S. Bancorp,345533826214755,Doris Glover,110,03/2000,11/2003,23,1792,948900
HC,Hipercard,Bank of America,3962684563875018408,Muriel Considine,694,10/2017,06/2021,11,7200,328899
EO,Elo,Chase,6062826483508867,Madaline Stiedemann,610,02/2000,12/2004,10,5278,289477
HC,Hipercard,Capital One,3528959805685322,Esther Witting,233,09/2019,09/2023,7,6382,851668
AX,American Express,American Express,4422657961066528,Blanche Koss,919,12/2009,02/2013,15,7765,100496
HC,Hipercard,U.S. Bancorp,347813310971625,Stanton OReilly,676,11/2020,04/2025,4,7805,841738
EO,Elo,Capital One,6062829523302812,Jillian Trantow,474,09/2014,01/2018,1,4007,863868
EO,Elo,Wells Fargo,6362977786641223,Aracely Gutmann,632,09/2013,10/2017,5,1302,870682
DC,Diners Club,Diners Club International,372311636533672,Mercedes West,972,06/2009,11/2013,21,8633,338057
UP,UnionPay,GE Capital,4985187337074435,Westley Tremblay,106,11/2006,05/2010,11,2844,839226
VI,Visa,U.S. Bancorp,6375688431230438,Lew Schimmel,433,02/2016,10/2019,6,3002,649179
UP,UnionPay,Wells Fargo,6592197986069396,Pearline Collins,128,03/2008,09/2012,27,8197,783328
UP,UnionPay,Bank of America,340886405922650,Aurelia Lueilwitz,204,08/2011,03/2015,14,6335,385050
VI,Visa,U.S. Bancorp,2720240103266513,Roger Rutherford,214,08/2009,06/2014,24,7645,537092
MT,Maestro,Bank of America,6507270403104908,Afton Kuvalis,819,11/2007,07/2011,17,2122,732719
HR,Hiper,Chase,813101753476418,Lynn Hayes,4780,06/2006,06/2011,7,1102,914688
EO,Elo,Wells Fargo,6494512911511743294,Noel Spinka,706,02/2011,03/2015,2,7012,996617
JC,JCB,Japan Credit Bureau,6011051730772016136,Edgar Sipes,484,01/2010,04/2014,1,5067,747601
DS,Discover,Discover,18000196468533367,Aletha Yost,440,06/2004,12/2008,25,9099,557652
MC,Mastercard,U.S. Bancorp,6550196107051879,Eleanora Kutch,977,03/2008,05/2012,5,9636,68713
DS,Discover,Discover,4576317359217811,Lamont Brekke,453,11/2009,06/2014,23,1766,725328
VI,Visa,GE Capital,2715571829391418,Felipa Stehr,526,09/2001,09/2005,11,9827,728062
MT,Maestro,Chase,2707226490917591,Wilma Stoltenberg,777,08/2020,12/2024,22,1181,393333
DS,Discover,Discover,2131722683494435598,Yasmeen Stoltenberg,632,08/2004,06/2009,3,4117,974962
DC,Diners Club,Diners Club International,6498532109399046,Trace Goyette,2224,03/2011,01/2016,27,8115,634807
DC,Diners Club,Diners Club International,6375683494688382,Destiny Terry,4518,10/2018,11/2021,6,1888,955102
HR,Hiper,GE Capital,36437499065367,Elias Kuhlman,6966,11/2004,04/2008,7,3351,540414
EO,Elo,GE Capital,6011832176067320,Noe Marks,487,02/2017,04/2021,18,8220,489272
DS,Discover,Discover,6062825315307860,Cheyanne Jakubowski,655,02/2009,11/2013,23,9766,39621
HC,Hipercard,Capital One,4011790422716691,Ibrahim Lang,4775,01/2015,02/2018,7,1218,868439
DC,Diners Club,Diners Club International,4147551429524489,Will Turner,2752,08/2006,05/2011,5,1065,824313
MC,Mastercard,Barclays,2230067157549889,Keeley Watsica,788,04/2019,10/2022,1,4785,676977
JC,JCB,Japan Credit Bureau,631803338897998,Casey Windler,607,06/2012,10/2015,1,4987,761321
MC,Mastercard,Barclays,6370953905074109,Vaughn Dietrich,942,02/2002,02/2006,6,3048,955359
HR,Hiper,U.S. Bancorp,6062828667167379,Caleigh Mills,604,09/2019,07/2024,23,7129,569816
UP,UnionPay,Capital One,6492604632893070,Lottie Pollich,560,02/2009,10/2013,15,7853,160192
DS,Discover,Discover,3589063256634130174,Aiden Reichert,677,08/2014,01/2018,10,7078,339682
HC,Hipercard,Wells Fargo,35895882719616935,Alverta Mayer,520,11/2013,03/2017,21,8567,346426
VI,Visa,Wells Fargo,6062825333213496,Anibal Hayes,751,05/2007,10/2011,16,1095,926981
VI,Visa,U.S. Bancorp,4156442232932051,Bennie Schamberger,253,04/2017,05/2020,26,7329,219653
UP,UnionPay,GE Capital,36040590953349,Friedrich Streich,778,05/2014,04/2019,3,3762,193280
UP,UnionPay,U.S. Bancorp,6382436435188298,Madisyn Thompson,384,03/2019,03/2022,9,8315,628318
HR,Hiper,Capital One,6490964956492349497,Noah Beier,432,09/2016,10/2019,1,8503,957691
UP,UnionPay,GE Capital,6011334014151432,Lexi Harris,438,03/2020,11/2024,15,1304,156026
